Title_DSS,Title_FSS,Title_CSSS,Content_DSS,Content_FSS,Content_CSSS,DSS,FSS,CSSS,Quarter
-0.0926214319881423,-0.6456387314389155,-0.05913714280446705,-0.03593697940930872,-0.05461880218994837,-0.08389000967689259,-0.03593697940930872,-0.018812755057228417,-0.08000596040534463,2006Q1
0.06483762092383365,0.4393017856830367,0.05859583019519417,-0.011131802829875461,-0.2065016181046695,-0.01995660732911908,-0.011131802829875461,-0.2065016181046695,-0.01995660732911908,2006Q2
0.0069436812686959224,0.12965699496222755,-0.05132991201075021,-0.01704621085028722,-0.05574812060748075,-0.08413354553197216,-0.01704621085028722,-0.031889259716857556,-0.07715168693387081,2006Q3
-0.13959212844330876,-0.6547627827933257,-0.06953754727692008,-0.025170745606705895,-0.38905537575671867,-0.025438458930956476,-0.025170745606705895,-0.37638716775017844,-0.02171010614310663,2006Q4
-0.004143619530143244,-0.19549494379636617,-0.05528682894108045,-0.01694609188593935,0.38455254963864205,0.0294943294484443,-0.01694609188593935,0.3845525484035614,0.02949432922208364,2007Q1
0.03739459331188514,0.33552618547873503,0.06519840066518398,-0.0009613337121163177,0.14840696529002617,0.007356172637015077,-0.0009613337121163177,0.14840696529002617,0.007356172637015077,2007Q2
-0.0079328809957435,-0.14634302013635309,-0.0870670984495882,-0.012998610906171354,0.013521909385992192,0.03892818974271074,-0.012998610906171354,0.013521909385992192,0.03892818974271074,2007Q3
0.06014238949230666,-0.1634842942003159,0.01669606785675589,-0.016723173440902246,0.017604583111346606,-0.047510070848896156,-0.01672317343508148,0.017645238256340706,-0.04683570529300757,2007Q4
-0.00038555660906699975,0.003978671049393375,-0.06085833929013035,-0.01667145991334417,0.0860620177192428,-0.015838970024164966,-0.01667145991334417,0.0860620177192428,-0.015838970024164966,2008Q1
-0.03307884199366288,-0.15821930228584763,-0.05849280808426559,0.006775793557803889,-0.11654910584533998,-0.027200798094254013,0.006775793557803889,-0.11654910584533998,-0.027200798094254013,2008Q2
-0.02383209617188875,-0.023859956691623885,-0.04518765142404384,-0.00423045477778484,0.289813523736121,0.07053889608528446,-0.00423045477778484,0.2898135237270091,0.07053889630986376,2008Q3
-0.025932543667866136,0.3060691699531782,0.07715911028273159,-0.013438448613487107,-0.0823106979852011,0.00615561654189908,-0.013438448613487107,-0.0823106979852011,0.00615561654189908,2008Q4
-0.08934780760758063,-0.24061075852494856,-0.14288743605362475,-0.021035216665008693,-0.09606505396640552,-0.04335589685538598,-0.021035216665008693,-0.09530588724282263,-0.04315537181278505,2009Q1
-0.02901267745291444,-0.23159777136563348,-0.025609867741439783,-0.015508650051502842,-0.06625727487425842,-0.0018777933541702027,-0.015508650051502842,-0.06620471899384989,-0.0018587123666424163,2009Q2
-4.612726300033692e-08,0.07410910395149528,-0.03949403398859385,-0.010267479366231996,0.026359098960295216,-0.06369734352874412,-0.01026745949801707,0.02790887233821522,-0.03681208349015777,2009Q3
-0.01261392235755913,0.35594293695048923,0.032203086283579804,-0.027556217322030046,0.23398294686720772,-0.045329752266256615,-0.027556217322030046,0.23398387570330112,-0.045329461100637,2009Q4
-1.4551904367375559e-11,-0.18172409891757035,-0.06637763408279564,-0.026096891914205916,0.02453420869775027,-0.0294985935893204,-0.026096891914205916,0.025554598645771295,-0.026754796219153398,2010Q1
0.00078126961018616,0.21158787858656586,-0.01794215658240117,0.006531663742896371,-0.0993004822986262,0.004504458123242468,0.006531663742896371,-0.0993065857879668,0.004508998052492781,2010Q2
0.0009871913807555322,0.013693941796382392,-0.06991584251330615,-0.002495853324568729,0.022621585516676174,-0.039691110987934416,-0.002495853324568729,0.04762744428634559,-0.02197577257845175,2010Q3
-0.0007324318391499142,-0.07039054233007605,-0.0649246727637495,-0.01192397895695993,-0.011325817930753556,-0.04834877725908432,-0.01192397895695993,-0.011325817930753556,-0.04834877725908432,2010Q4
0.0004882811541479911,-0.009784250931783561,-0.06445876268177048,-0.009663281964387527,-0.0010616898884451623,0.000979536787024237,-0.009663281964387531,-0.001061689888445183,0.0009795367870242336,2011Q1
-0.14723609348956496,-0.18893079192903472,-0.13542482280370965,-0.00020361977342541783,0.2639916466145726,0.008428686352399285,-0.00019873696092541793,0.2639110687029719,0.008434382824239188,2011Q2
0.10877561660730015,0.2645455927172768,0.04495674207429932,-0.021754139069205945,-0.09381791602645008,-0.017006199178537792,-0.021754139069205945,-0.09381791593907116,-0.01700619917290706,2011Q3
0.0005580113520683651,-0.8244818941361746,-0.10913744054978257,-0.01049860199289742,-0.20831948368042513,-0.06563765777876147,-0.01049860199289742,-0.20831948368042513,-0.06563765777876147,2011Q4
1.2241701131046322e-05,0.47954432854984197,-0.10134475188143394,-0.011545896651641716,0.10173198395345476,0.09070539000064105,-0.011545896651641716,0.10886513826839742,0.09021020671904058,2012Q1
-0.09329833925841965,0.23081808835560835,-0.09630432008510834,-0.02799773929047774,-0.20571807140586407,-0.05776301361196763,-0.02799773929047774,-0.20571807140586407,-0.05776301361196763,2012Q2
-9.326694134537855e-06,-0.5970433715355515,-0.05177715585930105,-0.02777314161644221,-0.6310231881305746,-0.0411781606720035,-0.02777314161644221,-0.6310231881305746,-0.0411781606720035,2012Q3
-0.07596798891763057,-0.15312979075175404,-0.12414372665961418,-0.03062265941555986,-0.4460904075873033,-0.16557009862963715,-0.03062265941555986,-0.4461230363665043,-0.16530514678087055,2012Q4
-0.16914298097817068,-0.5970797100786843,-0.1541401386679499,-0.03857935320159497,-0.16777193662550083,-0.08807599160557404,-0.03857935320159497,-0.17151789017993183,-0.08738890185687456,2013Q1
