Date,Avg_Dictionary_Sentiment_Score,Avg_Finbert_Sentiment_Score
2006-01-02,-0.0032894736842105,-0.8738396
2006-01-05,0.0,0.21372563
2006-01-09,-0.0065320932410166,-0.11843115000000004
2006-01-11,-0.0224719101123595,0.06533709
2006-01-12,-0.015625,-0.87001526
2006-01-13,-0.0184331797235023,-0.60919034
2006-01-16,-0.0254452926208651,-0.8586937
2006-01-17,-0.024793388429752,-0.7823373
2006-01-18,-0.0227272727272727,-0.8980599
2006-01-19,-0.0020408163265306,-0.855161835
2006-01-20,-0.0121951219512195,0.4916383
2006-01-23,0.0,-0.6922259
2006-01-26,-0.011618806814761299,0.03740939500000001
2006-01-30,-0.0085836909871244,-0.89943844
2006-02-03,0.0071124551971325995,0.33363155
2006-02-06,-0.0079365079365079,-0.2045567
2006-02-08,-0.0079365079365079,0.16392715000000002
2006-02-11,-0.0036496350364963,0.22016665
2006-02-13,-0.009595029912563249,-0.151703225
2006-02-15,-0.0069930069930069,0.92293847
2006-02-16,0.0093312597200622,0.917118
2006-02-20,-0.0088495575221238,-0.95251596
2006-02-21,-0.0178571428571428,0.07202947
2006-02-22,-0.02881022615535886,0.568877588
2006-02-23,-0.0168912359102019,0.1106961233333333
2006-02-24,-0.02315344869067754,-0.8080381640000001
2006-03-01,-0.0214067278287461,-0.77543676
2006-03-03,-0.0186170212765957,-0.19465834
2006-03-06,-0.0108303249097472,-0.94315696
2006-03-07,-0.0114678899082568,0.62758476
2006-03-08,-0.015391471273824151,-0.6763599499999999
2006-03-09,-0.0244444444444444,-0.637046035
2006-03-10,-0.019356857239830598,-0.9086321399999999
2006-03-13,-0.004425787728026517,0.49429144999999997
2006-03-14,-0.0047393364928909,0.76399928
2006-03-15,-0.0064935064935064,0.6289643
2006-03-16,-0.016457334051785448,-0.388491055
2006-03-17,-0.01293903141193775,-0.19664794000000002
2006-03-20,-0.011512613730355649,-0.390662855
2006-03-22,0.0115606936416184,0.2522697
2006-03-24,-0.0104166666666666,0.024555326
2006-03-27,-0.00230414746543775,-0.24471724700000003
2006-03-28,-0.02133033832309552,-0.378545812
2006-03-29,-0.036981854624964866,-0.5090646733333334
2006-03-30,0.006869432182674575,0.4137691175
2006-03-31,-0.022115004716940573,-0.5421010124285714
2006-04-03,-0.0045871559633027,-0.9587128
2006-04-04,-0.0120481927710843,0.86439216
2006-04-05,-0.0015220700152207,0.32788179710000004
2006-04-06,-0.00015713874077308344,-0.756254685
2006-04-10,-0.0229553984463646,-0.29360896999999997
2006-04-17,-0.005814787401069567,-0.8879029033333333
2006-04-18,-0.0167162698412698,-0.88135398
2006-04-19,-0.0156599552572706,-0.6973704
2006-04-21,-0.0140280561122244,0.15733066
2006-04-23,-0.0040816326530612,0.05848725
2006-04-24,-0.0091743119266055,-0.93888307
2006-04-27,-0.01245544379714182,-0.6270520768
2006-04-28,-0.01147787037998915,-0.26956511166666663
2006-05-02,-0.0092592592592592,-0.8429454
2006-05-08,-0.012501129239614267,-0.7611243966666666
2006-05-10,-0.017478427791227467,-0.9476239166666667
2006-05-11,-0.0069574869574869,-0.07501397999999998
2006-05-15,-0.0044642857142857,-0.930581
2006-05-16,0.002898550724637667,-0.05806905333333332
2006-05-22,-0.0047393364928909,0.5881466
2006-05-26,-0.03151798227902223,-0.3115233946666667
2006-05-29,-0.0057938373155764,0.425645145
2006-05-30,-0.025623092480235334,-0.8248558333333333
2006-05-31,-0.018795443172117343,0.41926874714285717
2006-06-01,0.015527950310559,0.26718407499999997
2006-06-02,-0.0188679245283018,-0.44720936
2006-06-05,-0.0045045045045045,-0.70596194
2006-06-06,0.0404040404040404,0.82076603
2006-06-07,-0.01261829652996845,-0.77930805
2006-06-08,-0.0153086035253363,-0.31288045000000003
2006-06-09,-0.014926667314903998,0.07116807333333335
2006-06-12,-0.0043103448275862,-0.713164
2006-06-13,0.008620849822566501,0.5457724500000001
2006-06-16,-0.0083798882681564,-0.2427881
2006-06-19,-0.00858628362634112,-0.23047420000000002
2006-06-20,-0.008593325245499535,-0.053762780666666656
2006-06-23,-0.020827123302150998,-0.5436046066666667
2006-06-26,-0.011561694218346298,-0.56886603
2006-06-27,-0.01900623194288575,-0.03249892500000001
2006-06-28,-0.006977513365352034,0.7777591466666666
2006-06-29,-0.01125583801405939,0.029290920000000012
2006-07-03,-0.0045045045045045,-0.031885575
2006-07-05,-0.0013566245960611998,-0.8850344400000001
2006-07-06,-0.0089285714285714,0.6946684
2006-07-07,-0.0193050193050193,-0.9105155
2006-07-10,-0.007178929235232733,-0.91492429
2006-07-11,0.0119760479041916,0.58989644
2006-07-12,-0.016824562800201667,0.4829483933333334
2006-07-14,-0.0254452926208651,-0.92552733
2006-07-17,-0.0076335877862595,-0.9346243
2006-07-19,-0.010758623468811361,-0.32279989124999997
2006-07-20,-0.00914642648002005,-0.23201894499999998
2006-07-21,-0.020661509827023847,-0.7611563299999999
2006-07-24,0.0,-0.9051776
2006-07-25,-0.0301724137931034,-0.9464578
2006-07-26,0.0066006600660066,0.264171675
2006-07-27,-0.014438078494587775,0.25505808
2006-07-31,-0.0078740157480314,-0.93950415
2006-08-03,0.0,-0.9404583
2006-08-04,-0.0091408352150947,-0.211646826
2006-08-07,-0.01741293532338305,-0.849411605
2006-08-08,-0.0087624793507146,-0.11167370000000004
2006-08-09,-0.00418410041841,0.88602525
2006-08-11,-0.0124147432181559,-0.8616922333333333
2006-08-14,-0.0041322314049586,-0.6020525
2006-08-16,0.0,0.09927787
2006-08-17,-0.01337663899915795,0.086451346
